,DirichletModel_MultimodalClassifier_dc
397,3.6568928
398,3.6568928
399,3.6568928
400,3.6568928
401,3.6568928
402,3.6568928
403,3.6568928
404,3.6568928
405,3.6568928
406,3.6568928
407,3.6568928
408,3.6568928
409,3.6568928
410,3.6568928
411,3.6568928
412,3.6568928
413,3.6568928
414,3.6568928
415,3.6568928
416,3.6568928
417,3.6568928
418,3.6568928
419,3.6568928
420,3.6568928
421,3.6568928
422,3.6568928
423,3.6568928
424,3.6568928
425,3.6568928
426,3.6568928
427,3.6568928
428,3.6568928
429,3.6568928
430,3.6568928
431,3.6568928
432,3.6568928
433,3.6568928
434,3.6568928
435,3.6568928
436,3.6568928
437,3.6568928
438,3.6568928
439,3.6568928
440,3.6568928
441,3.6568928
442,3.630928
443,3.6568928
444,3.6568928
445,3.6568928
446,3.6568928
447,3.6568928
448,3.6568928
449,3.6568928
450,3.6568928
451,3.6568928
452,3.6568928
453,3.6568928
454,3.6568928
455,3.6568928
456,3.6568928
457,3.6568928
458,3.6568928
459,3.6568928
460,3.6568928
461,3.6568928
462,3.6568928
463,3.6568928
464,3.6568928
465,3.6568928
466,3.6568928
467,3.6568928
468,3.6568928
469,3.6568928
470,3.6568928
471,3.6568928
472,3.6568928
473,3.6568928
474,3.6568928
475,3.630928
476,3.6568928
477,3.6568928
478,3.6568928
479,3.6568928
480,3.6568928
481,3.6568928
482,3.6568928
483,3.6568928
484,3.6568928
485,3.6568928
486,3.6568928
487,3.6568928
488,3.6568928
489,3.6568928
490,3.6568928
491,3.6568928
492,3.6568928
493,3.6568928
494,3.6568928
495,3.6568928
496,3.6568928
497,3.6568928
498,3.6568928
499,3.6568928
500,3.6568928
501,3.630928
502,3.6568928
503,3.6568928
504,3.6568928
505,3.6568928
506,3.6568928
507,3.6568928
508,3.6568928
509,3.6568928
510,3.6568928
511,3.6568928
512,3.6568928
513,3.6568928
514,3.6568928
515,3.6568928
516,3.6568928
517,3.6568928
518,3.6568928
519,3.6568928
520,3.6568928
521,3.6568928
522,3.6568928
523,3.6568928
524,3.6568928
525,3.6568928
526,3.6568928
527,3.6568928
528,3.6568928
529,3.6568928
530,3.6568928
531,3.6568928
532,3.6568928
533,3.6568928
534,3.6568928
535,3.6568928
536,3.6568928
537,3.6568928
538,3.6568928
539,3.6568928
540,3.6568928
541,3.6568928
542,3.6568928
543,3.6568928
544,3.6568928
545,3.6568928
546,3.6568928
547,3.6568928
548,3.6568928
549,3.6568928
550,3.6568928
551,3.6568928
552,3.6568928
553,3.6568928
554,3.6568928
555,3.6568928
556,3.6568928
557,3.6568928
558,3.6568928
559,3.6568928
560,3.6568928
561,3.5927236
562,3.6568928
563,3.6568928
564,3.6568928
565,3.6568928
566,3.6568928
567,3.6568928
568,3.6568928
569,3.6568928
570,3.6568928
571,3.6568928
572,3.6568928
573,3.6568928
574,3.6568928
575,3.6568928
576,3.6568928
577,3.6568928
578,3.6568928
579,3.6568928
580,3.6568928
581,3.6568928
582,3.6568928
583,3.6568928
584,3.6568928
585,3.6568928
586,3.6568928
587,3.6568928
588,3.6568928
589,3.6568928
590,3.6568928
591,3.6568928
592,3.6568928
593,3.6568928
594,3.6568928
595,3.6568928
596,3.6568928
597,3.6568928
598,3.6568928
599,3.6568928
600,3.6568928
601,3.6568928
602,3.6568928
603,3.6568928
604,3.6568928
605,3.6568928
606,3.6568928
607,3.6568928
608,3.6568928
609,3.6568928
610,3.6568928
611,3.6568928
612,3.6568928
613,3.6568928
614,3.6568928
615,3.6568928
616,3.6568928
617,3.6568928
618,3.6568928
619,3.6568928
620,3.6568928
621,3.6568928
622,3.6568928
623,3.6568928
624,3.6568928
625,3.6568928
626,3.6568928
627,3.6568928
628,3.6568928
629,3.6568928
630,3.6568928
631,3.6568928
632,3.6568928
633,3.6568928
634,3.6568928
635,3.6568928
636,3.6568928
637,3.6568928
638,3.6568928
639,3.6568928
640,3.6568928
641,3.6568928
642,3.6568928
643,3.6568928
644,3.6568928
645,3.6568928
646,3.6568928
647,3.6568928
648,3.6568928
649,3.6568928
650,3.6568928
651,3.6568928
652,3.6568928
653,3.6568928
654,3.6568928
655,3.6568928
656,3.6568928
657,3.6568928
658,3.6568928
659,3.6568928
660,3.6568928
661,3.6568928
662,3.6568928
663,3.6568928
664,3.6568928
665,3.6568928
666,3.6568928
667,3.6568928
668,3.6568928
669,3.6568928
670,3.6568928
671,3.6568928
672,3.6568928
673,3.6568928
674,3.6568928
675,3.6568928
676,3.6568928
677,3.6568928
678,3.6568928
679,3.6568928
680,3.6568928
681,3.6568928
682,3.6568928
683,3.6568928
684,3.6568928
685,3.6568928
686,3.6568928
687,3.6568928
688,3.6568928
689,3.6568928
690,3.6568928
691,3.6568928
692,3.6568928
693,3.6568928
694,3.6568928
695,3.6568928
696,3.6568928
697,3.6568928
698,3.6568928
699,3.6568928
700,3.6568928
701,3.6568928
702,3.690559
703,3.6568928
704,3.6568928
705,3.6568928
706,3.6568928
707,3.6568928
708,3.6568928
709,3.6568928
710,3.6568928
711,3.6568928
712,3.6568928
713,3.6568928
714,3.6568928
715,3.6568928
716,3.6568928
717,3.6568928
718,3.6309288
719,3.6568928
720,3.6568928
721,3.6568928
722,3.6568928
723,3.6568928
724,3.6568928
725,3.6568928
726,3.6568928
727,3.6568928
728,3.6568928
729,3.6568928
730,3.6568928
731,3.6568928
732,3.6568928
733,3.6568928
734,3.6568928
735,3.6568928
736,3.6568928
737,3.6568928
738,3.6568928
739,3.6568928
740,3.6568928
741,3.6568928
742,3.6568928
743,3.6568928
744,3.6568928
745,3.6568928
746,3.6568928
747,3.6568928
748,3.6568928
749,3.6568928
750,3.6568928
751,3.6568928
752,3.6568928
753,3.6568928
754,3.6568928
755,3.6568928
756,3.6568928
757,3.6568928
758,3.6568928
759,3.6568928
760,3.6568928
761,3.6568928
762,3.6568928
763,3.6568928
764,3.6568928
765,3.6568928
766,3.6568928
767,3.6568928
768,3.6568928
769,3.6568928
770,3.6568928
771,3.6568928
772,3.6568928
773,3.6568928
774,3.6568928
775,3.6568928
776,3.6568928
777,3.6568928
778,3.6568928
779,3.6568928
780,3.6568928
781,3.6568928
782,3.6568928
783,3.6568928
784,3.6568928
785,3.6568928
786,3.6568928
787,3.6568928
788,3.6568928
789,3.6568928
790,3.6568928
791,3.6568928
792,3.6568928
793,3.6568928
794,3.6568928
795,3.6568928
796,3.6568928
797,3.6568928
798,3.6568928
799,3.6568928
800,3.6568928
801,3.6568928
802,3.6568928
803,3.6568928
804,3.6568928
805,3.6568928
806,3.6568928
807,3.6568928
808,3.6568928
809,3.6568928
810,3.6568928
811,3.6568928
812,3.6568928
813,3.6568928
814,3.6568928
815,3.6568928
816,3.6568928
817,3.6568928
818,3.6568928
819,3.6568928
820,3.6568928
821,3.6568928
822,3.6568928
823,3.6568928
824,3.6568928
825,3.6568928
826,3.6568928
827,3.6568928
828,3.6568928
829,3.6568928
830,3.6568928
831,3.6568928
832,3.6568928
833,3.6568928
834,3.6568928
835,3.6568928
836,3.6568928
837,3.6568928
838,3.6568928
839,3.6568928
840,3.6568928
841,3.6568928
842,3.6568928
843,3.6568928
844,3.6568928
845,3.6568928
846,3.6568928
847,3.6568928
848,3.6568928
849,3.6568928
